entity_id,invoice_number,seller_tin,document_type,issue_date,clearance_date,status,uuid,currency,taxable_amount,tax_amount,total_amount,tax_code,buyer_tin,buyer_name,is_consolidated
O1,INV-OMN-500001,OM6820279187,Invoice,2026-07-06,2026-07-07,CLEARED,urn:uuid:4f059982-b36f-3573-5164-a77f89651084,OMR,14484.626,724.231,15208.857,S5,OM8782584675,Marina Enterprises,false
O1,INV-OMN-500005,OM6820279187,Invoice,2026-06-22,2026-06-23,CLEARED,urn:uuid:404cd112-6d84-2acb-8efb-7f54a851fcc8,OMR,26027.014,1301.351,27328.365,S5,OM1462632972,Al Noor Distribution,false
O2,INV-OMN-500009,OM1883997998,Invoice,2026-07-04,2026-07-05,CLEARED,urn:uuid:8b3bc6bf-6099-2d53-c208-8786a63841c1,OMR,31256.254,1562.813,32819.067,S5,OM8079088146,Horizon FMCG,false
O1,INV-OMN-500010,OM6820279187,Invoice,2026-06-19,2026-06-20,CLEARED,urn:uuid:2d9a64b7-4ef6-a56d-d2c9-24d054524f0f,OMR,28356.216,1417.811,29774.027,S5,OM0835221929,Al Noor Distribution,false
O2,INV-OMN-500014,OM1883997998,Invoice,2026-06-25,2026-06-26,CLEARED,urn:uuid:fba77998-45f5-d8ba-3326-5d96cac012c2,OMR,31498.869,1574.943,33073.812,S5,OM4896429913,Marina Enterprises,false
O2,INV-OMN-500017,OM1883997998,Invoice,2026-06-25,2026-06-26,CLEARED,urn:uuid:c0a1f74b-d8eb-1673-bbba-9b48ec4049c4,OMR,24721.639,1236.082,25957.721,S5,OM3647933698,Al Noor Distribution,false
O2,INV-OMN-500020,OM1883997998,Invoice,2026-07-10,2026-07-11,CLEARED,urn:uuid:4d1b9cb6-7d08-0ceb-8ff6-bd87b24cc532,OMR,18749.181,937.459,19686.64,S5,OM4009644653,Marina Enterprises,false
O1,INV-OMN-500024,OM6820279187,Invoice,2026-06-24,2026-06-25,CLEARED,urn:uuid:74463aaf-f2a3-1a43-1364-1a818c061152,OMR,23790.906,1189.545,24980.451,S5,OM8763689044,Oasis Wholesale,false
O1,INV-OMN-500027,OM6820279187,Invoice,2026-07-10,2026-07-11,CLEARED,urn:uuid:8ef031fa-dbc4-4bbd-562a-20f8f9d0e611,OMR,31651.401,1582.57,33233.971,S5,OM1728366707,Cedar Supplies Co.,false
O2,INV-OMN-500031,OM1883997998,Invoice,2026-07-13,2026-07-14,CLEARED,urn:uuid:edbd73b0-b606-9147-84eb-a8270ee16613,OMR,29444.887,1472.244,30917.131,S5,OM1427122296,Falcon Trading Est.,false
O2,INV-OMN-500034,OM1883997998,Invoice,2026-06-17,2026-06-18,CLEARED,urn:uuid:f8a4085a-9342-9f01-dd28-5a132e3e381a,OMR,33421.307,1671.065,35092.372,S5,OM4893828221,Al Noor Distribution,false
O1,INV-OMN-500037,OM6820279187,Invoice,2026-07-14,2026-07-15,CLEARED,urn:uuid:2bc589d9-48f4-3f32-b356-e277740113d0,OMR,25369.933,1268.497,26638.43,S5,OM4341350830,Delta Foods,false
O1,INV-OMN-500039,OM6820279187,Invoice,2026-07-15,2026-07-16,CLEARED,urn:uuid:299ef104-3312-8d0d-6bc9-ffd68ed7750e,OMR,20147.264,678.042,20825.306,S5,OM5994230039,Horizon FMCG,false
O2,INV-OMN-500043,OM1883997998,Invoice,2026-06-23,2026-06-24,CLEARED,urn:uuid:38f3ae7c-0cee-3791-6aaa-668cdeba6e71,OMR,18012.579,749.246,18761.825,S5,OM5751681699,Gulf Mega Stores,false
O1,INV-OMN-500047,OM6820279187,Invoice,2026-06-16,2026-06-17,CLEARED,urn:uuid:a030afa5-2081-a623-dc1a-d421699ce4c5,OMR,18799.196,776.575,19575.771,S5,OM5580633243,Cedar Supplies Co.,false
O1,INV-OMN-500050,OM6820279187,Invoice,2026-06-24,2026-06-25,CLEARED,urn:uuid:27f1ca0b-217d-5e6c-61f7-31ea10cd7cb9,OMR,32861.603,1403.628,34265.231,S5,OM7561549893,Gulf Mega Stores,false
O1,INV-OMN-500054,OM6820279187,Invoice,2026-06-17,2026-06-18,CLEARED,urn:uuid:01759241-83b4-3c03-49ea-3476a3537a8f,OMR,35596.192,1458.706,37054.898,S5,OM8500498984,Marina Enterprises,false
O2,INV-OMN-500055,OM1883997998,Invoice,2026-07-15,2026-07-16,CLEARED,urn:uuid:2c1dd50f-6b5b-db27-7d70-3b65f8e3358b,OMR,31903.552,1356.53,33260.082,S5,OM2936185120,Oasis Wholesale,false
O1,INV-OMN-500059,OM6820279187,Invoice,2026-07-10,2026-07-11,CLEARED,urn:uuid:c5c8c9ca-89c1-1da1-8255-232fd74781c5,OMR,21696.954,851.368,22548.322,S5,OM1885895200,Pearl Retail Group,false
O1,INV-OMN-500061,OM6820279187,Invoice,2026-07-15,2026-07-16,CLEARED,urn:uuid:57448a69-1413-a62d-c417-fa1e1f5a56ae,OMR,34885.02,1337.905,36222.925,S5,OM0849417140,Marina Enterprises,false
O2,INV-OMN-500063,OM1883997998,Invoice,2026-06-26,2026-06-27,CLEARED,urn:uuid:396b9ceb-e417-8b12-4f5a-303bda89bcac,OMR,8791.72,439.586,9231.306,S5,OM1274528482,Horizon FMCG,false
O1,INV-OMN-500066,OM6820279187,Invoice,2026-06-16,2026-06-17,CLEARED,urn:uuid:8aabef24-0664-a2e9-276e-bb60a258e08f,OMR,16661.94,833.097,17495.037,S5,OM8112643745,Summit Traders,false
O2,INV-OMN-500070,OM1883997998,Invoice,2026-06-18,2026-06-19,CLEARED,urn:uuid:80fb8d5f-2bef-23a8-c0ac-6147d2222274,OMR,25304.398,1265.22,26569.618,S5,OM2427267866,Summit Traders,false
O2,INV-OMN-500073,OM1883997998,Invoice,2026-06-25,2026-06-26,CLEARED,urn:uuid:19437586-4300-f029-5264-7b2c0e8886ff,OMR,39723.333,1986.167,41709.5,S5,OM2173414450,Delta Foods,false
O1,INV-OMN-500076,OM6820279187,Invoice,2026-07-04,2026-07-05,CLEARED,urn:uuid:7acb4fe1-e90e-112b-7e2a-939a792e5660,OMR,7394.542,0,7394.542,S5,OM9466334776,Falcon Trading Est.,false
O2,INV-OMN-500080,OM1883997998,Invoice,2026-07-14,2026-07-15,CLEARED,urn:uuid:3e0020b3-4710-d2d3-96f1-a9055d4c9b0b,OMR,13260.295,0,13260.295,S5,OM2936763877,Falcon Trading Est.,false
O1,INV-OMN-500084,OM6820279187,Invoice,2026-06-24,2026-06-25,CLEARED,urn:uuid:262e91cf-aebd-64e7-25cb-cadac4dd07dc,OMR,20715.608,0,20715.608,S5,OM9730214136,Summit Traders,false
