entity_id,invoice_number,seller_tin,document_type,issue_date,clearance_date,status,uuid,currency,taxable_amount,tax_amount,total_amount,tax_code,buyer_tin,buyer_name,is_consolidated
E3,INV-UAE-500004,195534016908748,Invoice,2026-06-29,2026-06-30,CLEARED,urn:uuid:1f7dd7da-68e5-594a-3664-f77317b6498c,AED,6385.99,319.3,6705.29,S5,148535021874295,Summit Traders,false
E3,INV-UAE-500008,195534016908748,Invoice,2026-06-17,2026-06-18,CLEARED,urn:uuid:6a7759c4-179e-d176-e124-87b994bef11f,AED,33867.57,1693.38,35560.95,S5,127526650681150,Summit Traders,false
E8,INV-UAE-500011,156379989784197,Invoice,2026-06-18,2026-06-19,CLEARED,urn:uuid:f4629c19-4370-8ba3-064e-47731a31e9fc,AED,13777.22,688.86,14466.08,S5,114296041498244,Horizon FMCG,false
E8,INV-UAE-500012,156379989784197,Invoice,2026-07-07,2026-07-08,CLEARED,urn:uuid:7a5d4761-42ee-47fd-e4fc-aabd56c66138,AED,6380.96,319.05,6700.01,S5,191693744931491,Delta Foods,false
E1,INV-UAE-500014,167634322348275,Invoice,2026-07-05,2026-07-06,CLEARED,urn:uuid:1f363cc8-85b0-7764-fece-d69583dc41ec,AED,12537.88,626.89,13164.77,S5,191282051128268,Pearl Retail Group,false
E3,INV-UAE-500016,195534016908748,Invoice,2026-06-19,2026-06-20,CLEARED,urn:uuid:aed093ea-12bc-0619-1750-8d38b876322d,AED,17180.15,859.01,18039.16,S5,109594491624449,Cedar Supplies Co.,false
E3,INV-UAE-500019,195534016908748,Invoice,2026-07-04,2026-07-05,CLEARED,urn:uuid:e61aaa1b-b6c0-6ed7-1224-ecff303ed9dc,AED,12074.34,603.72,12678.06,S5,172899788299316,Falcon Trading Est.,false
E3,INV-UAE-500021,195534016908748,Invoice,2026-06-29,2026-06-30,CLEARED,urn:uuid:895c9f80-6c5c-a74f-93e8-f7afe8fcbeaa,AED,27099.82,1354.99,28454.81,S5,181530319984091,Cedar Supplies Co.,false
E1,INV-UAE-500022,167634322348275,Invoice,2026-07-03,2026-07-04,CLEARED,urn:uuid:43cdb979-2c3d-30b9-6d5b-e802408d0389,AED,7498.35,374.92,7873.27,S5,156876100130037,Summit Traders,false
E3,INV-UAE-500025,195534016908748,Invoice,2026-06-24,2026-06-25,CLEARED,urn:uuid:d4a07063-1f6e-a0e0-7f6d-d2b1897546d0,AED,39035.04,1951.75,40986.79,S5,108481127579894,Falcon Trading Est.,false
E1,INV-UAE-500026,167634322348275,Invoice,2026-06-26,2026-06-27,CLEARED,urn:uuid:bc14b1de-525f-2e5f-28bc-9e846f0bc09e,AED,10678.71,533.94,11212.65,S5,136096998368588,Marina Enterprises,false
E1,INV-UAE-500028,167634322348275,Invoice,2026-07-06,2026-07-07,CLEARED,urn:uuid:2002f1fe-81f2-8b07-aea3-4d408ed21404,AED,7606.5,380.33,7986.83,S5,176279647049032,Summit Traders,false
E8,INV-UAE-500031,156379989784197,Invoice,2026-07-02,2026-07-03,CLEARED,urn:uuid:2ceee39f-1b71-8783-c25c-acb7e8da1bbf,AED,17588.64,555.73,18144.37,S5,145796540700590,Pearl Retail Group,false
E8,INV-UAE-500035,156379989784197,Invoice,2026-06-26,2026-06-27,CLEARED,urn:uuid:790da9a8-8db6-9ac0-67f8-6a3b855b6ef6,AED,33397.88,1263.14,34661.02,S5,191993898877066,Pearl Retail Group,false
E8,INV-UAE-500037,156379989784197,Invoice,2026-07-04,2026-07-05,CLEARED,urn:uuid:5daa9b39-6f1c-0b11-685d-37ce246d8bea,AED,30090.51,1233.45,31323.96,S5,145973394610527,Pearl Retail Group,false
E8,INV-UAE-500039,156379989784197,Invoice,2026-07-04,2026-07-05,CLEARED,urn:uuid:aba6f690-60c0-518f-f7c1-58fd29c17abd,AED,29126.74,1357.62,30484.36,S5,198700089002099,Horizon FMCG,false
E1,INV-UAE-500042,167634322348275,Invoice,2026-07-04,2026-07-05,CLEARED,urn:uuid:c6bd6556-225c-259e-ecbd-61d63109e5d1,AED,29485.46,1108.85,30594.31,S5,147951247716896,Summit Traders,false
E3,INV-UAE-500046,195534016908748,Invoice,2026-06-26,2026-06-27,CLEARED,urn:uuid:2a7ef29e-3460-c33f-9a42-30bf4b38f7b7,AED,27648.88,994.78,28643.66,S5,158732351688122,Gulf Mega Stores,false
E8,INV-UAE-500047,156379989784197,Invoice,2026-07-13,2026-07-14,CLEARED,urn:uuid:29a0eb04-af59-0882-e760-faab7e9075e1,AED,21052.32,605.03,21657.35,S5,125075868021236,Falcon Trading Est.,false
E1,INV-UAE-500049,167634322348275,Invoice,2026-06-17,2026-06-18,CLEARED,urn:uuid:1a27ac2d-2122-0b15-a15e-527566843d8a,AED,34251.88,1295.34,35547.22,S5,127471300840113,Gulf Mega Stores,false
